"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acquired"
"1","3000001","1008","165","1","1","","","","",""
"2","3000001","1003","31","1","1","","","","",""
"3","3000001","1004","3.6","1","1","","","","",""
"4","3000001","1005","0","1","1","","","","",""
"5","3000001","2000","0.5","1","1","","","","",""
"6","3000002","2047","110","1","1","","","","",""
"7","3000002","1003","5","1","1","","","","",""
"8","3000003","2048","95","1","1","","","","",""
"9","3000004","1063","2.1","1","1","","","","",""
"10","3000004","1003","2","1","1","","","","",""
"11","3000004","1004","1","1","1","","","","",""
"12","3000004","1005","4","1","1","","","","",""
"13","3000005","1003","","1","1","","","","",""
"14","3000005","1004","10","1","1","","","","",""
"15","3000005","1005","5","1","1","","","","",""
"16","3000006","1005","0","1","1","","","","",""
"17","3000007","1003","10","1","1","","","","",""
"18","3000007","1003","99","1","1","","","","",""
"19","3000007","1004","5","1","1","","","","",""
"20","3000007","1005","5","1","1","","","","",""
"21","3000008","1051","100","1","1","","","","",""
"22","3000099","1008","50","1","1","","","","",""
